institution_name,domain,organization_name,duration_weeks,stipend_amount,mode,is_ppo_linked,program_source,description
"Government Institute of Pharmaceutical Sciences, Aurangabad",Humanitarian Logistics,Bajaj Electricals,9,0,online,False,General,"Assist senior engineers/researchers on humanitarian logistics tasks, from requirements to testing and delivery."
"Galgotias Institute of Engineering and Polytechnic, Haridwar",Intellectual Property,TULIP Portal Partner,6,0,online,False,General,"Hands-on intellectual property internship: build, test and ship a real feature under a mentor."
"Sri Venkateswara School of Architecture, Bengaluru",Crisis Management,Ashok Leyland,8,10624,offline,False,General,"Support data collection, analysis and reporting for the crisis management practice at Tella, Sethi and Chandra."
"Government Engineering College, Tirunelveli",Particle Physics,Unacademy,7,11466,online,False,General,"Hands-on particle physics internship: build, test and ship a real feature under a mentor."
"Government School of Architecture, Ballari",Formal Verification,Delhivery,7,8989,offline,False,TULIP,"Work on live projects with the Buch, Shetty and Sethi formal verification team; contribute to sprint deliverables and documentation."
"Government Institute of Polytechnic Studies, Rajkot",Message Broker,Tata Power,6,0,online,False,General,"Hands-on message broker internship: build, test and ship a real feature under a mentor."
"Government College of Engineering, Vijayawada",Data Profiling,Emami,7,7874,online,True,CDAC,Work on live projects with the Lalla-Bali data profiling team; contribute to sprint deliverables and documentation.
"RV School of Management, Haldia",Industrial Automation,Tata Power,9,13845,hybrid,False,General,Collaborate across teams on industrial automation initiatives; present findings to stakeholders.
"Saveetha College of Engineering and Technology, Ambala",Disaster Response,PhonePe,9,14661,offline,False,Indian Army,"Assist senior engineers/researchers on disaster response tasks, from requirements to testing and delivery."
"National Institute of Technology, Kolkata",Federated Learning,Puma India,9,0,hybrid,False,General,"Support data collection, analysis and reporting for the federated learning practice at Mitter Inc."
"Government Institute of Management, Anantapur",Influencer Marketing,HP India,6,6864,offline,True,Indian Army,"Hands-on influencer marketing internship: build, test and ship a real feature under a mentor."
"Lokmanya Engineering College, Gwalior",Regulatory Technology,ISRO,8,14295,offline,False,General,Learn industry workflows in regulatory technology while supporting day-to-day operations and quality checks.
"Galgotias College of Pharmacy and Research, Muzaffarpur",Caching,ABB India,7,8166,hybrid,True,General,"Assist senior engineers/researchers on caching tasks, from requirements to testing and delivery."
"Lovely Polytechnic College, Howrah",Data Privacy,Trent (Westside),7,6811,hybrid,True,General,Collaborate across teams on data privacy initiatives; present findings to stakeholders.
"Government College of Engineering, Adilabad",Blockchain Development,Netflix India,9,12263,hybrid,False,General,Work on live projects with the Sodhi-Kashyap blockchain development team; contribute to sprint deliverables and documentation.
"Kalasalingam Institute of Technology and Science, Pune",Cloud Migration,BigBasket,9,0,online,False,General,Collaborate across teams on cloud migration initiatives; present findings to stakeholders.
"Government Engineering College, Mohali",Semantic Search,Axis Bank,8,0,offline,False,General,"Assist senior engineers/researchers on semantic search tasks, from requirements to testing and delivery."
"National Institute of Technology, Aizawl",Climate Finance,Schneider Electric,7,10231,online,True,General,"Hands-on climate finance internship: build, test and ship a real feature under a mentor."
"Srinivasa Engineering College, Agra",Human Rights Due Diligence,Nike India,6,7162,offline,False,General,Learn industry workflows in human rights due diligence while supporting day-to-day operations and quality checks.
"Thiagarajar Business School, Gandhinagar",Animation,Indian Army (Technical),8,0,offline,False,General,"Hands-on animation internship: build, test and ship a real feature under a mentor."
"Anurag Engineering College, Warangal",Firewall Rules,World Bank India,6,10173,online,False,General,"Support data collection, analysis and reporting for the firewall rules practice at Bhatia-Kakar."
"Symbiosis Institute of Technology and Science, Pune",Biodiversity Assessment,MakeMyTrip,7,12300,offline,False,General,Learn industry workflows in biodiversity assessment while supporting day-to-day operations and quality checks.
"G.L. Bajaj College of Engineering and Technology, Varanasi",SOAR,Adidas India,6,0,online,False,General,"Support data collection, analysis and reporting for the soar practice at Khare-Bhandari."
"Hindustan Institute of Business Management, Junagadh",Wearable Health,State Bank of India,6,13150,offline,False,General,"Assist senior engineers/researchers on wearable health tasks, from requirements to testing and delivery."
"Government College of Engineering, Shimla",Electric Vehicles,Big Bazaar (Future),8,14707,online,False,TULIP,Work on live projects with the Wason Ltd electric vehicles team; contribute to sprint deliverables and documentation.
"Sharda School of Business Administration, Nizamabad",Food Packaging,Myntra,9,6383,offline,False,General,"Assist senior engineers/researchers on food packaging tasks, from requirements to testing and delivery."
"Ideal Business School, Gurugram",Full-Stack Development,Cisco India,8,0,offline,False,General,"Support data collection, analysis and reporting for the full-stack development practice at Seth-Cheema."
"Sri Venkateswara Institute of Technology, Meerut",Highway Engineering,Reliance Retail,9,10040,offline,False,General,"Support data collection, analysis and reporting for the highway engineering practice at Bedi-Dara."
"Government Institute of Pharmaceutical Sciences, Aurangabad",Telecommunications,Zara India,8,12904,offline,False,Indian Army,"Hands-on telecommunications internship: build, test and ship a real feature under a mentor."
"Christ Engineering College, Ahmedabad",Schema Migration,Google India,9,9832,offline,True,General,Collaborate across teams on schema migration initiatives; present findings to stakeholders.
"Sri Indu College of Pharmacy and Research, Mysuru",Vulnerability Research,DRDO,9,0,online,False,General,Collaborate across teams on vulnerability research initiatives; present findings to stakeholders.
"Jain Institute of Science and Technology, Bilaspur",Econometrics,L&T Energy,8,8900,offline,True,Indian Army,"Hands-on econometrics internship: build, test and ship a real feature under a mentor."
"Lendi Institute of Polytechnic Studies, Tirunelveli",Visa Processing,ISRO,8,11528,offline,False,General,"Support data collection, analysis and reporting for the visa processing practice at Madan PLC."
"Girijananda Chowdhury College of Engineering, Agra",Wind Energy,Titan Company,9,0,offline,False,General,"Support data collection, analysis and reporting for the wind energy practice at Ramakrishnan, Issac and Dutta."
"Shri Institute of Engineering and Polytechnic, Kurnool",Economics Research,Cure.fit,9,4932,online,False,General,Learn industry workflows in economics research while supporting day-to-day operations and quality checks.
"Government College of Engineering, Mohali",Journalism,ACC Cement,6,5237,online,False,General,Collaborate across teams on journalism initiatives; present findings to stakeholders.
"Symbiosis Institute of Engineering and Management, Rajkot",Vulnerability Research,ACC Cement,9,5785,hybrid,False,General,"Support data collection, analysis and reporting for the vulnerability research practice at Sundaram LLC."
"Siddhartha Institute of Technology and Science, Nagpur",Vault,Myntra,8,5769,hybrid,True,General,"Hands-on vault internship: build, test and ship a real feature under a mentor."
"Government Institute of Management, Siddipet",Vulnerability Research,Vedanta,7,6857,offline,False,CDAC,"Support data collection, analysis and reporting for the vulnerability research practice at Badal Inc."
"Hindustan Institute of Technology, Ballari",Bug Bounty,Shoppers Stop,9,5680,offline,False,CDAC,"Hands-on bug bounty internship: build, test and ship a real feature under a mentor."
"Anurag Engineering College, Warangal",Green Procurement,ICICI Bank,8,3083,hybrid,False,CDAC,Work on live projects with the Ramesh Ltd green procurement team; contribute to sprint deliverables and documentation.
"Hindustan College of Engineering, Ajmer",Service Mesh,Porter,9,11563,offline,True,TULIP,"Assist senior engineers/researchers on service mesh tasks, from requirements to testing and delivery."
"Sharda Business School, Mysuru",Go-live Support,Amazon India,9,7700,offline,False,General,"Support data collection, analysis and reporting for the go-live support practice at Deep-Sawhney."
"K.S.R. College of Engineering and Technology, Ghaziabad",Financial Consulting,Delhivery,6,13668,offline,True,Indian Army,"Support data collection, analysis and reporting for the financial consulting practice at Subramanian-Shanker."
"Lokmanya College of Architecture, Hubballi",Nomad,Cure.fit,8,0,offline,False,Indian Army,"Work on live projects with the Sekhon, Sankar and Bali nomad team; contribute to sprint deliverables and documentation."
"Government College of Architecture, Siliguri",Geology,ISRO,7,11547,offline,False,General,"Support data collection, analysis and reporting for the geology practice at Chawla, Saxena and Cheema."
"Raghu Institute of Technology and Science, Bokaro",AML Compliance,Tata Consultancy Services,6,0,offline,False,General,Work on live projects with the Chad PLC aml compliance team; contribute to sprint deliverables and documentation.
"Sri Sathya Sai College of Management Studies, South Delhi",MPLS,DRDO,6,12988,offline,False,General,"Support data collection, analysis and reporting for the mpls practice at Sha-Badami."
"Government Institute of Applied Arts, Madurai",Chaos Engineering,DMart,7,13794,hybrid,False,Indian Army,Learn industry workflows in chaos engineering while supporting day-to-day operations and quality checks.
"Government Institute of Management, Rajkot",Protobuf,PayPal India,9,7708,online,False,General,"Assist senior engineers/researchers on protobuf tasks, from requirements to testing and delivery."
"Vels Institute of Technology, Junagadh",Search and Rescue,FedEx India,8,3800,hybrid,False,General,"Support data collection, analysis and reporting for the search and rescue practice at Pathak-Thaman."
"Government Engineering College, Belagavi",Distributed Locking,Zoho Corporation,6,4312,offline,False,General,Work on live projects with the Reddy-Sachar distributed locking team; contribute to sprint deliverables and documentation.
"Kalinga Institute of Applied Arts and Crafts, Indore",Consumer Protection,Vodafone Idea,9,0,online,False,General,Learn industry workflows in consumer protection while supporting day-to-day operations and quality checks.
"Matrusri Institute of Management Studies, Kurnool",Search Relevance,ACC Cement,7,8638,offline,False,General,Learn industry workflows in search relevance while supporting day-to-day operations and quality checks.
"Vishwakarma Institute of Science and Technology, Ballari",Speech Recognition,Trent (Westside),6,0,offline,False,General,Collaborate across teams on speech recognition initiatives; present findings to stakeholders.
"Vishwakarma Institute of Technology and Science, Nashik",Radiology AI,P&G India,7,0,hybrid,False,General,Learn industry workflows in radiology ai while supporting day-to-day operations and quality checks.
"Government College of Management Studies, Belagavi",Master Data,HP India,6,0,online,False,General,Collaborate across teams on master data initiatives; present findings to stakeholders.
"Sri Sathya Sai College of Engineering and Technology, Bhopal",Vulnerability Management,Uber India,9,3138,hybrid,False,General,"Assist senior engineers/researchers on vulnerability management tasks, from requirements to testing and delivery."
"Lendi Institute of Engineering and Technology, Haldia",HACCP,Fabindia,6,0,offline,False,General,Work on live projects with the Chad-Deshpande haccp team; contribute to sprint deliverables and documentation.
"G.L. Bajaj College of Architecture and Planning, Udaipur",Low-code Development,Schneider Electric,9,10096,offline,False,General,"Work on live projects with the Viswanathan, Varty and Chana low-code development team; contribute to sprint deliverables and documentation."
"Manipal Institute of Polytechnic, Mysuru",Smart Home,Dabur,7,0,offline,False,General,"Work on live projects with the Mutti, Chandra and Bhatnagar smart home team; contribute to sprint deliverables and documentation."
"Rajalakshmi Institute of Management and Technology, Amravati",Identity Verification,Zoho Corporation,9,0,hybrid,False,General,"Assist senior engineers/researchers on identity verification tasks, from requirements to testing and delivery."
"Sri Venkateswara Institute of Science and Technology, Haldia",Space Debris,Tanishq,9,0,hybrid,False,General,Learn industry workflows in space debris while supporting day-to-day operations and quality checks.
"Sri Venkateswara College of Engineering and Technology, Hubballi",Vendor Risk,World Bank India,7,13843,online,False,TULIP,Collaborate across teams on vendor risk initiatives; present findings to stakeholders.
"Lokmanya College of Architecture, Hubballi",Clinical Research,Amazon India,6,14756,offline,False,Indian Army,Work on live projects with the Rajan and Sons clinical research team; contribute to sprint deliverables and documentation.
"Kakatiya School of Management, Lucknow",Smart Home,Tanishq,7,10221,offline,False,General,Learn industry workflows in smart home while supporting day-to-day operations and quality checks.
"Government Engineering College, Kurnool",SD-WAN,Emami,9,10671,offline,False,General,Collaborate across teams on sd-wan initiatives; present findings to stakeholders.
"Jain College of Pharmacy, Ujjain",Sharding,Cure.fit,9,0,offline,False,General,"Support data collection, analysis and reporting for the sharding practice at Talwar-Kannan."
"Geethanjali Institute of Management Studies, Sagar",Flexible Electronics,HCL Technologies,9,12626,offline,False,General,"Hands-on flexible electronics internship: build, test and ship a real feature under a mentor."
"Indian Institute of Information Technology, Korba",SLO,Hindustan Unilever,7,4129,hybrid,False,General,Work on live projects with the Thakkar-Dhawan slo team; contribute to sprint deliverables and documentation.
"Kalasalingam Institute of Engineering and Technology, Belagavi",Mental Health Apps,Voltas,9,7661,offline,True,General,"Assist senior engineers/researchers on mental health apps tasks, from requirements to testing and delivery."
"Government Institute of Management, Darbhanga",Talent Management,ABB India,9,0,offline,True,General,Learn industry workflows in talent management while supporting day-to-day operations and quality checks.
"Sree Dattha Institute of Management Studies, Rohtak",Swarm Robotics,Stripe India,6,9402,hybrid,False,General,Collaborate across teams on swarm robotics initiatives; present findings to stakeholders.
"Sri Indu College of Pharmacy and Research, Mysuru",ZooKeeper,DRDO,9,13905,offline,False,General,Collaborate across teams on zookeeper initiatives; present findings to stakeholders.
"Government Engineering College, Visakhapatnam",CTR Modelling,Suzlon,9,12149,offline,False,General,"Support data collection, analysis and reporting for the ctr modelling practice at Sheth, Bhalla and Balakrishnan."
"Government Engineering College, Vizianagaram",Homomorphic Encryption,Royal Enfield,8,0,online,False,General,"Work on live projects with the Sanghvi, Kadakia and Palla homomorphic encryption team; contribute to sprint deliverables and documentation."
"Kalinga Institute of Engineering and Management, Solapur",Parquet,Urban Company,7,0,hybrid,False,General,"Work on live projects with the Rajagopalan, Sur and Murthy parquet team; contribute to sprint deliverables and documentation."
"Government Institute of Management, Vellore",Electric Vehicles,Bosch India,8,0,offline,False,CDAC,Learn industry workflows in electric vehicles while supporting day-to-day operations and quality checks.
"Kalasalingam Institute of Polytechnic, Jamshedpur",Customer Identity,AICTE Internship Cell,7,13690,offline,True,General,Learn industry workflows in customer identity while supporting day-to-day operations and quality checks.
"National Institute of Technology, Kolkata",Library Science,Amul,8,10965,online,False,General,Work on live projects with the Sodhi and Sons library science team; contribute to sprint deliverables and documentation.
"Government Engineering College, Anantapur",Radiology AI,Indian Oil,6,10667,offline,False,General,Learn industry workflows in radiology ai while supporting day-to-day operations and quality checks.
"KLE Engineering College, Vadodara",Sports Analytics,GAIL India,7,13854,offline,False,CDAC,"Assist senior engineers/researchers on sports analytics tasks, from requirements to testing and delivery."
"Lokmanya Institute of Applied Arts and Crafts, Kota",Go-live Support,Amazon India,7,3114,offline,True,General,Learn industry workflows in go-live support while supporting day-to-day operations and quality checks.
"Anurag College of Architecture and Planning, Tirunelveli",Welding Technology,Axis Bank,8,9859,offline,False,General,"Assist senior engineers/researchers on welding technology tasks, from requirements to testing and delivery."
"Girijananda Chowdhury Institute of Management and Technology, Faridabad",Brand Management,Hindustan Aeronautics,6,13509,offline,False,General,Collaborate across teams on brand management initiatives; present findings to stakeholders.
"Government College of Engineering, Bikaner",Contrastive Learning,Nestle India,6,8665,offline,False,General,"Assist senior engineers/researchers on contrastive learning tasks, from requirements to testing and delivery."
"Government College of Engineering, Siliguri",Data Warehousing,Marico,7,0,offline,True,Indian Army,Work on live projects with the Singh LLC data warehousing team; contribute to sprint deliverables and documentation.
"Government Engineering College, Chennai",Energy Management Systems,Paytm,7,12350,online,False,General,Work on live projects with the Sridhar-Zachariah energy management systems team; contribute to sprint deliverables and documentation.
"Government College of Engineering, Imphal",WAF,AICTE Internship Cell,9,13210,offline,True,General,"Work on live projects with the Lad, Barad and Goyal waf team; contribute to sprint deliverables and documentation."
"Chaitanya College of Fine and Applied Arts, Madurai",Fuel Cells,Royal Enfield,6,8891,online,True,General,"Hands-on fuel cells internship: build, test and ship a real feature under a mentor."
"Government College of Engineering, Ahmedabad",Packer,Salesforce India,8,5231,offline,False,General,Collaborate across teams on packer initiatives; present findings to stakeholders.
"Kalinga Pharmacy College, Sagar",Organic Electronics,Zoho Corporation,6,14523,hybrid,False,General,Learn industry workflows in organic electronics while supporting day-to-day operations and quality checks.
"Hindustan Institute of Engineering and Management, Ballari",VLSI Design,Railway Board,6,9482,offline,False,General,"Support data collection, analysis and reporting for the vlsi design practice at Lalla and Sons."
"Vishwakarma Institute of Pharmacy, Bhubaneswar",Green Buildings,H&M India,8,8580,offline,True,General,"Support data collection, analysis and reporting for the green buildings practice at Kashyap-Pandit."
"Amrita Institute of Engineering and Management, Junagadh",MMM,Power Grid Corporation,8,0,online,False,General,"Work on live projects with the Reddy, Grewal and Om mmm team; contribute to sprint deliverables and documentation."
"Government College of Engineering, Chennai",Crypto Research,Tanishq,7,6159,offline,False,General,"Support data collection, analysis and reporting for the crypto research practice at Kadakia, Rama and Krishnamurthy."
"Symbiosis College of Engineering and Technology, Belagavi",Data Engineering,Schneider Electric,8,0,hybrid,True,General,Collaborate across teams on data engineering initiatives; present findings to stakeholders.
"Government Institute of Management, Aurangabad",Healthcare Management,upGrad,8,14552,online,False,CDAC,Collaborate across teams on healthcare management initiatives; present findings to stakeholders.
"Government Engineering College, Thiruvananthapuram",Telemedicine,Delhivery,6,4155,online,False,General,Work on live projects with the Randhawa-Dubey telemedicine team; contribute to sprint deliverables and documentation.
"Government Engineering College, Belagavi",Threat Intelligence,Ultratech Cement,8,14688,offline,False,General,Collaborate across teams on threat intelligence initiatives; present findings to stakeholders.
"Sri Indu College of Architecture, Guwahati",Process Excellence,GAIL India,6,11307,offline,False,General,Learn industry workflows in process excellence while supporting day-to-day operations and quality checks.
"Reva College of Engineering and Technology, Siddipet",Archaeology,NTPC,9,3120,hybrid,False,CDAC,Work on live projects with the Pandit Inc archaeology team; contribute to sprint deliverables and documentation.
"Vasavi Business School, Ballari",Edge Computing,Larsen & Toubro,6,6244,online,True,Indian Army,Learn industry workflows in edge computing while supporting day-to-day operations and quality checks.
"Anurag Engineering College, Madurai",Ayurveda Research,Havells,9,7769,offline,False,General,Work on live projects with the Sami LLC ayurveda research team; contribute to sprint deliverables and documentation.
"G.L. Bajaj Engineering College, Mysuru",Microbiology,Mother Dairy,9,0,hybrid,False,General,"Assist senior engineers/researchers on microbiology tasks, from requirements to testing and delivery."
"RV Institute of Technology, Coimbatore",Telemedicine,ACC Cement,7,3652,offline,False,General,Collaborate across teams on telemedicine initiatives; present findings to stakeholders.
"Guru Nanak Institute of Technology, Nizamabad",Performance Engineering,Ashok Leyland,8,0,offline,False,General,"Support data collection, analysis and reporting for the performance engineering practice at Dhaliwal, Singh and Dugar."
"Government College of Management Studies, Chandigarh",NGO Operations,Meesho,7,6471,offline,False,CDAC,"Support data collection, analysis and reporting for the ngo operations practice at Bir, Raval and Roy."
"Government Engineering College, Bardhaman",Microfluidics,BigBasket,9,11666,offline,False,General,"Support data collection, analysis and reporting for the microfluidics practice at Lalla-Mani."
"Lendi Institute of Polytechnic Studies, Tirunelveli",Animation,Zara India,7,0,offline,False,General,"Support data collection, analysis and reporting for the animation practice at Uppal Inc."
"Government Institute of Management, Kota",Energy Management Systems,DMart,6,9733,online,False,TULIP,Learn industry workflows in energy management systems while supporting day-to-day operations and quality checks.
"Girijananda Chowdhury Institute of Management and Technology, Faridabad",Health Education,Unacademy,7,0,offline,False,TULIP,Collaborate across teams on health education initiatives; present findings to stakeholders.
"Christ Engineering College, Ahmedabad",Infrastructure as Code,Infosys,7,12815,offline,False,TULIP,"Support data collection, analysis and reporting for the infrastructure as code practice at Babu, Morar and Kibe."
"Sharda Business School, Mysuru",Knowledge Graphs,PayPal India,8,8778,offline,False,General,Collaborate across teams on knowledge graphs initiatives; present findings to stakeholders.
"Kakatiya School of Management, Lucknow",Virtual Reality,Havells,9,0,offline,False,General,"Support data collection, analysis and reporting for the virtual reality practice at Rajagopalan, Krishnan and Aggarwal."
"Symbiosis College of Engineering and Technology, Jabalpur",Function-as-a-Service,Razorpay,7,10440,hybrid,False,General,"Assist senior engineers/researchers on function-as-a-service tasks, from requirements to testing and delivery."
"Government Engineering College, Visakhapatnam",Subnetting,Dunzo,7,0,hybrid,False,General,"Support data collection, analysis and reporting for the subnetting practice at Wali-Thaman."
"Government School of Architecture, Udaipur",Secure Boot,Vodafone Idea,8,7121,online,False,CDAC,Work on live projects with the Maharaj Inc secure boot team; contribute to sprint deliverables and documentation.
"Government Polytechnic, Ghaziabad",Financial Analysis,ServiceNow India,7,5222,offline,False,General,Learn industry workflows in financial analysis while supporting day-to-day operations and quality checks.
"Gokaraju School of Architecture, Varanasi",Columnar Storage,Airbnb India,9,8058,hybrid,False,CDAC,"Support data collection, analysis and reporting for the columnar storage practice at Iyengar, Mistry and Ganesh."
"Government College of Engineering, Kollam",Idempotency,Tata Consultancy Services,7,0,offline,False,General,"Hands-on idempotency internship: build, test and ship a real feature under a mentor."
"Raghu Institute of Technology and Science, Bokaro",Petroleum Engineering,Razorpay,7,11320,hybrid,False,General,Learn industry workflows in petroleum engineering while supporting day-to-day operations and quality checks.
"Sri Sathya Sai Institute of Science and Technology, Muzaffarpur",Telemedicine,BHEL,9,3391,offline,False,General,"Support data collection, analysis and reporting for the telemedicine practice at Joshi-Sidhu."
"Sree Dattha Institute of Technology and Science, Durgapur",Learning and Development,upGrad,9,13961,offline,False,General,"Support data collection, analysis and reporting for the learning and development practice at Chadha-Bahri."
"Government College of Management Studies, Belagavi",Satellite Propulsion,JSW Steel,7,7865,online,True,General,Work on live projects with the Kapur LLC satellite propulsion team; contribute to sprint deliverables and documentation.
"Sri Indu College of Pharmacy and Research, Mysuru",BGP,Netflix India,6,14352,online,False,General,Work on live projects with the Sangha Group bgp team; contribute to sprint deliverables and documentation.
"Hindustan Institute of Applied Arts, Karimnagar",Predictive Maintenance,ICICI Bank,6,0,hybrid,False,General,"Assist senior engineers/researchers on predictive maintenance tasks, from requirements to testing and delivery."
"Government College of Applied Arts, Daman",Agriculture Technology,Fabindia,7,4090,offline,False,General,"Support data collection, analysis and reporting for the agriculture technology practice at Ranganathan PLC."
"Government Engineering College, Sagar",Learning to Rank,Bharat Electronics,6,11962,offline,False,General,Work on live projects with the Kannan and Sons learning to rank team; contribute to sprint deliverables and documentation.
"Vaagdevi College of Engineering and Technology, Rohtak",Network Forensics,Kia India,9,0,offline,True,General,Work on live projects with the Ganguly-Yadav network forensics team; contribute to sprint deliverables and documentation.
"Geethanjali Institute of Technology, Hamirpur",Forestry,Indian Oil,8,11769,online,False,Indian Army,Work on live projects with the Koshy-Bahl forestry team; contribute to sprint deliverables and documentation.
"Geethanjali Institute of Pharmaceutical Sciences, Aurangabad",Economics Research,ACC Cement,8,11066,offline,False,General,"Assist senior engineers/researchers on economics research tasks, from requirements to testing and delivery."
"Government Polytechnic, Panipat",Shopper Insights,Meta India,6,8649,offline,False,General,Learn industry workflows in shopper insights while supporting day-to-day operations and quality checks.
"Girijananda Chowdhury College of Engineering and Technology, Vizianagaram",Cutover Planning,Reliance Jio,9,0,hybrid,True,General,"Hands-on cutover planning internship: build, test and ship a real feature under a mentor."
"Sri Venkateswara College of Engineering and Technology, Hubballi",ISO 9001,Blinkit,8,0,online,False,General,"Assist senior engineers/researchers on iso 9001 tasks, from requirements to testing and delivery."
"Aditya School of Management, Ajmer",Reliability Engineering,Vedantu,7,0,online,False,General,"Assist senior engineers/researchers on reliability engineering tasks, from requirements to testing and delivery."
"Aditya Institute of Pharmaceutical Sciences, Meerut",Pharmaceutical Research,Hero MotoCorp,6,4338,hybrid,False,Indian Army,"Work on live projects with the Pall, Edwin and Gola pharmaceutical research team; contribute to sprint deliverables and documentation."
"Government College of Engineering, Ludhiana",Terraform,Adobe India,6,3416,online,False,General,"Work on live projects with the Chaudhari, Sethi and Borah terraform team; contribute to sprint deliverables and documentation."
"Government College of Engineering, Shimla",Graphic Design,Mahindra & Mahindra,6,5862,offline,False,General,Learn industry workflows in graphic design while supporting day-to-day operations and quality checks.
"Government Institute of Management, Jaipur",Event-driven Architecture,Hindustan Unilever,8,0,hybrid,False,General,Learn industry workflows in event-driven architecture while supporting day-to-day operations and quality checks.
"Government College of Engineering, Shimla",Adversarial ML,Paytm,8,0,offline,False,TULIP,Learn industry workflows in adversarial ml while supporting day-to-day operations and quality checks.
"K.S.R. Institute of Science and Technology, Raipur",API Gateway,AICTE Internship Cell,7,3392,offline,False,General,Collaborate across teams on api gateway initiatives; present findings to stakeholders.
"Sinhgad Institute of Technology and Science, Anantapur",Grant Writing,Google India,7,14676,offline,False,General,Learn industry workflows in grant writing while supporting day-to-day operations and quality checks.
"Ideal Institute of Engineering and Polytechnic, South Goa",3D Modelling,HP India,9,0,hybrid,False,General,"Assist senior engineers/researchers on 3d modelling tasks, from requirements to testing and delivery."
"Government Engineering College, Madurai",SD-WAN,Practo,8,8969,hybrid,False,CDAC,Collaborate across teams on sd-wan initiatives; present findings to stakeholders.
"Reva Institute of Technology, Gwalior",Ride Hailing,Railway Board,7,10555,online,False,General,Collaborate across teams on ride hailing initiatives; present findings to stakeholders.
"Government College of Management Studies, Nashik",Threat Intelligence,Siemens Gamesa,7,11530,offline,False,General,"Work on live projects with the Ramakrishnan, Saha and Puri threat intelligence team; contribute to sprint deliverables and documentation."
"Government Engineering College, Karimnagar",Financial Analysis,Godrej Industries,9,0,offline,False,General,"Support data collection, analysis and reporting for the financial analysis practice at Nazareth LLC."
"Government Engineering College, Thiruvananthapuram",Foundation Models,Airbnb India,8,5350,online,False,General,Work on live projects with the Sampath Ltd foundation models team; contribute to sprint deliverables and documentation.
"Government Engineering College, Vellore",Propensity Modelling,TVS Motor,9,9322,online,False,CDAC,"Assist senior engineers/researchers on propensity modelling tasks, from requirements to testing and delivery."
"Government Engineering College, Bengaluru",Propulsion,MakeMyTrip,8,0,hybrid,False,General,"Hands-on propulsion internship: build, test and ship a real feature under a mentor."
"Government College of Engineering, Ghaziabad",Harbour Engineering,Dabur,9,7514,offline,False,General,Work on live projects with the Thaker-Gola harbour engineering team; contribute to sprint deliverables and documentation.
"Government College of Engineering, Bathinda",SOAR,Schneider Electric,8,4969,offline,False,General,Learn industry workflows in soar while supporting day-to-day operations and quality checks.
"Srinivasa Institute of Engineering and Management, Chandigarh",Open Source Governance,Google India,6,0,online,False,General,"Hands-on open source governance internship: build, test and ship a real feature under a mentor."
"Reva College of Engineering and Technology, Siddipet",Attack Surface Management,Ather Energy,6,0,offline,False,General,"Work on live projects with the Raju, Shanker and Agate attack surface management team; contribute to sprint deliverables and documentation."
"Nitte Institute of Technology, Siddipet",Entrepreneurship Training,Google India,9,0,offline,False,CDAC,Learn industry workflows in entrepreneurship training while supporting day-to-day operations and quality checks.
"Malla Reddy College of Architecture, Chennai",Behavioural Biometrics,Blinkit,8,14192,offline,True,General,"Support data collection, analysis and reporting for the behavioural biometrics practice at Kalita Group."
"Government College of Engineering, Kollam",A/B Testing,Twitter/X India,6,13777,hybrid,False,General,Learn industry workflows in a/b testing while supporting day-to-day operations and quality checks.
"Jain Institute of Science and Technology, Bilaspur",Dairy Technology,Bajaj Auto,8,11804,online,False,CDAC,"Support data collection, analysis and reporting for the dairy technology practice at Brahmbhatt, Ramachandran and Behl."
"Ideal Institute of Management and Technology, Junagadh",Data Profiling,Dabur,8,3390,offline,False,General,"Support data collection, analysis and reporting for the data profiling practice at Char Group."
"Government College of Engineering, Adilabad",Smart Grid,Capgemini,9,0,offline,True,General,"Hands-on smart grid internship: build, test and ship a real feature under a mentor."
"Siddhartha Institute of Technology and Science, Nagpur",Game Theory,L&T Energy,8,0,hybrid,False,General,"Support data collection, analysis and reporting for the game theory practice at Nayar Group."
"Matrusri School of Business Administration, Khammam",Food Processing,Bharti Airtel,8,3113,offline,False,General,Learn industry workflows in food processing while supporting day-to-day operations and quality checks.
"NMAM College of Pharmacy, Ludhiana",Archaeology,Amazon India,6,0,offline,False,General,"Support data collection, analysis and reporting for the archaeology practice at Munshi-Khanna."
"Shri School of Applied Arts, Anantapur",Load Balancing,Adobe India,7,14270,online,True,General,"Assist senior engineers/researchers on load balancing tasks, from requirements to testing and delivery."
"Sreenidhi Institute of Engineering and Technology, Sambalpur",Grant Management,ACC Cement,6,10755,hybrid,False,General,Collaborate across teams on grant management initiatives; present findings to stakeholders.
"Malla Reddy Pharmacy College, Tezpur",Social Impact Consulting,Crompton,7,8791,offline,False,General,"Hands-on social impact consulting internship: build, test and ship a real feature under a mentor."
"Vignan College of Engineering and Technology, Amritsar",Compliance Reporting,Big Bazaar (Future),9,0,online,False,General,"Hands-on compliance reporting internship: build, test and ship a real feature under a mentor."
"Lokmanya Institute of Applied Arts and Crafts, Kota",Hydrology,Ashok Leyland,6,8836,hybrid,False,CDAC,"Hands-on hydrology internship: build, test and ship a real feature under a mentor."
"Bharath Institute of Pharmaceutical Sciences, Siddipet",Augmented Reality,Hindustan Aeronautics,6,0,offline,False,General,"Assist senior engineers/researchers on augmented reality tasks, from requirements to testing and delivery."
